total test length
23158
-------------------folder , length of x_test, y_test-------------------------
[8599, 492, 2]
[1029, 7043, 559]
[99, 729, 10194]
[94.5672495326075, 5.410755526228967, 0.021994941163532386]
[11.922141119221411, 81.60120495886919, 6.476653921909397]
[0.8982035928143712, 6.6140446379967335, 92.48775176918889]
total accuracy
0.8987685243164266
-------------------folder , length of x_test, y_test-------------------------
128 615 615
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,5
6,2
7,6
8,7
9,12
10,22
11,17
12,22
13,41
14,45
15,43
16,105
17,104
18,184
each floor by number


[0, 33, 0]
[0, 156, 36]
[0, 21, 369]


[0, 33, 0]
[0, 88, 19]
[0, 44, 431]


[62, 12, 6]
[37, 28, 20]
[2, 24, 424]


[83, 13, 5]
[32, 55, 32]
[2, 13, 380]


[104, 10, 2]
[40, 57, 58]
[1, 19, 324]


[109, 12, 0]
[50, 89, 67]
[0, 15, 273]


[114, 13, 0]
[51, 114, 81]
[0, 16, 226]


[125, 10, 0]
[43, 119, 46]
[0, 21, 251]


[123, 5, 0]
[37, 124, 52]
[0, 21, 253]


[120, 6, 0]
[39, 105, 53]
[0, 18, 274]


[141, 1, 0]
[41, 196, 53]
[0, 17, 166]


[163, 3, 0]
[32, 384, 0]
[0, 16, 17]


[192, 12, 0]
[32, 351, 0]
[0, 13, 15]


[207, 33, 0]
[31, 344, 0]
[0, 0, 0]


[311, 52, 0]
[41, 211, 0]
[0, 0, 0]


[553, 0, 0]
[41, 21, 0]
[0, 0, 0]


[615, 0, 0]
[0, 0, 0]
[0, 0, 0]


[615, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 81.25, 18.75]
[0.0, 5.384615384615385, 94.61538461538461]


[0.0, 100.0, 0.0]
[0.0, 82.2429906542056, 17.75700934579439]
[0.0, 9.263157894736842, 90.73684210526316]


[77.5, 15.0, 7.5]
[43.529411764705884, 32.94117647058824, 23.529411764705884]
[0.4444444444444444, 5.333333333333333, 94.22222222222223]


[82.17821782178218, 12.871287128712872, 4.9504950495049505]
[26.89075630252101, 46.21848739495798, 26.89075630252101]
[0.5063291139240506, 3.291139240506329, 96.20253164556962]


[89.65517241379311, 8.620689655172415, 1.7241379310344829]
[25.806451612903224, 36.774193548387096, 37.41935483870968]
[0.29069767441860467, 5.523255813953488, 94.18604651162791]


[90.08264462809917, 9.917355371900827, 0.0]
[24.271844660194173, 43.20388349514563, 32.52427184466019]
[0.0, 5.208333333333334, 94.79166666666667]


[89.76377952755905, 10.236220472440944, 0.0]
[20.73170731707317, 46.34146341463415, 32.926829268292686]
[0.0, 6.6115702479338845, 93.38842975206612]


[92.59259259259258, 7.4074074074074066, 0.0]
[20.673076923076923, 57.21153846153846, 22.115384615384613]
[0.0, 7.720588235294117, 92.27941176470587]


[96.09375, 3.90625, 0.0]
[17.370892018779344, 58.21596244131456, 24.413145539906104]
[0.0, 7.664233576642335, 92.33576642335765]


[95.23809523809524, 4.761904761904762, 0.0]
[19.79695431472081, 53.299492385786806, 26.903553299492387]
[0.0, 6.164383561643835, 93.83561643835617]


[99.29577464788733, 0.7042253521126761, 0.0]
[14.13793103448276, 67.58620689655173, 18.27586206896552]
[0.0, 9.289617486338797, 90.7103825136612]


[98.19277108433735, 1.8072289156626506, 0.0]
[7.692307692307692, 92.3076923076923, 0.0]
[0.0, 48.484848484848484, 51.515151515151516]


[94.11764705882352, 5.88235294117647, 0.0]
[8.35509138381201, 91.64490861618799, 0.0]
[0.0, 46.42857142857142, 53.57142857142857]


[86.25, 13.75, 0.0]
[8.266666666666667, 91.73333333333333, 0.0]
[0, 0, 0]


[85.67493112947659, 14.325068870523417, 0.0]
[16.26984126984127, 83.73015873015873, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[66.12903225806451, 33.87096774193549, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[3637, 248, 13]
[547, 2442, 517]
[5, 258, 3403]
[93.30425859415085, 6.362237044638276, 0.3335043612108774]
[15.601825442099258, 69.65202509982886, 14.746149458071876]
[0.13638843426077468, 7.037643207855973, 92.82596835788326]
total accuracy
0.8565492321589883
-------------------folder , length of x_test, y_test-------------------------
129 709 709
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,8
9,11
10,21
11,48
12,47
13,93
14,135
15,160
16,127
17,24
18,32
each floor by number


[0, 36, 0]
[0, 254, 161]
[0, 17, 241]


[0, 34, 0]
[0, 195, 125]
[0, 12, 343]


[101, 63, 0]
[2, 68, 47]
[0, 31, 397]


[127, 38, 0]
[15, 82, 46]
[1, 46, 354]


[174, 16, 0]
[33, 85, 66]
[0, 41, 294]


[173, 6, 0]
[49, 163, 99]
[0, 114, 105]


[197, 5, 0]
[28, 362, 104]
[0, 0, 13]


[198, 15, 0]
[31, 236, 216]
[0, 0, 13]


[113, 12, 0]
[105, 161, 130]
[0, 0, 188]


[113, 12, 0]
[104, 72, 0]
[0, 46, 362]


[113, 12, 0]
[110, 131, 1]
[0, 35, 307]


[136, 11, 0]
[107, 260, 1]
[0, 132, 62]


[168, 3, 0]
[102, 369, 4]
[0, 60, 3]


[195, 0, 0]
[102, 412, 0]
[0, 0, 0]


[283, 6, 0]
[74, 346, 0]
[0, 0, 0]


[600, 88, 0]
[7, 14, 0]
[0, 0, 0]


[709, 0, 0]
[0, 0, 0]
[0, 0, 0]


[709, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 61.20481927710843, 38.795180722891565]
[0.0, 6.589147286821706, 93.41085271317829]


[0.0, 99.99999999999999, 0.0]
[0.0, 60.9375, 39.0625]
[0.0, 3.3802816901408455, 96.61971830985917]


[61.58536585365854, 38.41463414634146, 0.0]
[1.7094017094017095, 58.119658119658126, 40.17094017094017]
[0.0, 7.242990654205607, 92.75700934579439]


[76.96969696969697, 23.03030303030303, 0.0]
[10.48951048951049, 57.34265734265735, 32.16783216783217]
[0.24937655860349128, 11.471321695760599, 88.27930174563592]


[91.57894736842105, 8.421052631578947, 0.0]
[17.934782608695652, 46.19565217391304, 35.869565217391305]
[0.0, 12.238805970149253, 87.76119402985074]


[96.64804469273743, 3.35195530726257, 0.0]
[15.755627009646302, 52.41157556270097, 31.832797427652736]
[0.0, 52.054794520547944, 47.945205479452056]


[97.52475247524752, 2.4752475247524752, 0.0]
[5.668016194331983, 73.27935222672065, 21.052631578947366]
[0.0, 0.0, 100.0]


[92.95774647887325, 7.042253521126761, 0.0]
[6.418219461697722, 48.86128364389234, 44.72049689440994]
[0.0, 0.0, 100.0]


[90.4, 9.6, 0.0]
[26.515151515151516, 40.656565656565654, 32.82828282828283]
[0.0, 0.0, 100.0]


[90.4, 9.6, 0.0]
[59.09090909090909, 40.90909090909091, 0.0]
[0.0, 11.274509803921568, 88.72549019607843]


[90.4, 9.6, 0.0]
[45.45454545454545, 54.13223140495868, 0.4132231404958678]
[0.0, 10.23391812865497, 89.76608187134504]


[92.51700680272108, 7.482993197278912, 0.0]
[29.07608695652174, 70.65217391304347, 0.2717391304347826]
[0.0, 68.04123711340206, 31.95876288659794]


[98.24561403508773, 1.7543859649122808, 0.0]
[21.473684210526315, 77.6842105263158, 0.8421052631578947]
[0.0, 95.23809523809524, 4.761904761904762]


[100.0, 0.0, 0.0]
[19.844357976653697, 80.1556420233463, 0.0]
[0, 0, 0]


[97.92387543252595, 2.0761245674740483, 0.0]
[17.619047619047617, 82.38095238095238, 0.0]
[0, 0, 0]


[87.20930232558139, 12.790697674418604, 0.0]
[33.333333333333336, 66.66666666666667, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[4109, 357, 0]
[869, 3210, 1000]
[1, 534, 2682]
[92.00626959247649, 7.993730407523511, 0.0]
[17.10966725733412, 63.201417601890135, 19.688915140775745]
[0.031084861672365557, 16.599316133043207, 83.36959900528443]
total accuracy
0.7836545995925404
-------------------folder , length of x_test, y_test-------------------------
130 124 124
number by successful floor
0,0
1,0
2,0
3,3
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,2
14,4
15,2
16,52
17,24
18,35
each floor by number


[0, 48, 0]
[0, 72, 4]
[0, 0, 0]


[0, 47, 1]
[0, 70, 6]
[0, 0, 0]


[72, 19, 9]
[15, 7, 2]
[0, 0, 0]


[100, 19, 5]
[0, 0, 0]
[0, 0, 0]


[115, 5, 4]
[0, 0, 0]
[0, 0, 0]


[118, 2, 4]
[0, 0, 0]
[0, 0, 0]


[119, 2, 3]
[0, 0, 0]
[0, 0, 0]


[119, 4, 1]
[0, 0, 0]
[0, 0, 0]


[119, 3, 2]
[0, 0, 0]
[0, 0, 0]


[119, 1, 4]
[0, 0, 0]
[0, 0, 0]


[119, 5, 0]
[0, 0, 0]
[0, 0, 0]


[119, 5, 0]
[0, 0, 0]
[0, 0, 0]


[120, 4, 0]
[0, 0, 0]
[0, 0, 0]


[120, 4, 0]
[0, 0, 0]
[0, 0, 0]


[121, 3, 0]
[0, 0, 0]
[0, 0, 0]


[124, 0, 0]
[0, 0, 0]
[0, 0, 0]


[124, 0, 0]
[0, 0, 0]
[0, 0, 0]


[124, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 94.73684210526315, 5.2631578947368425]
[0, 0, 0]


[0.0, 97.91666666666667, 2.0833333333333335]
[0.0, 92.10526315789474, 7.894736842105263]
[0, 0, 0]


[72.0, 19.0, 9.0]
[62.5, 29.166666666666668, 8.333333333333334]
[0, 0, 0]


[80.64516129032258, 15.32258064516129, 4.032258064516129]
[0, 0, 0]
[0, 0, 0]


[92.74193548387098, 4.032258064516129, 3.2258064516129035]
[0, 0, 0]
[0, 0, 0]


[95.16129032258064, 1.6129032258064517, 3.2258064516129035]
[0, 0, 0]
[0, 0, 0]


[95.96774193548387, 1.6129032258064517, 2.4193548387096775]
[0, 0, 0]
[0, 0, 0]


[95.96774193548387, 3.2258064516129035, 0.8064516129032259]
[0, 0, 0]
[0, 0, 0]


[95.96774193548387, 2.4193548387096775, 1.6129032258064517]
[0, 0, 0]
[0, 0, 0]


[95.96774193548387, 0.8064516129032259, 3.2258064516129035]
[0, 0, 0]
[0, 0, 0]


[95.96774193548387, 4.032258064516129, 0.0]
[0, 0, 0]
[0, 0, 0]


[95.96774193548387, 4.032258064516129, 0.0]
[0, 0, 0]
[0, 0, 0]


[96.7741935483871, 3.2258064516129035, 0.0]
[0, 0, 0]
[0, 0, 0]


[96.7741935483871, 3.2258064516129035, 0.0]
[0, 0, 0]
[0, 0, 0]


[97.58064516129032, 2.4193548387096775, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[1852, 171, 33]
[15, 149, 12]
[0, 0, 0]
[90.07782101167315, 8.317120622568094, 1.605058365758755]
[8.522727272727273, 84.6590909090909, 6.818181818181818]
[nan, nan, nan]
total accuracy
0.896505376344086
-------------------folder , length of x_test, y_test-------------------------
131 26 26
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,0
16,24
17,0
18,0
each floor by number


[0, 26, 0]
[0, 0, 0]
[0, 0, 0]


[0, 26, 0]
[0, 0, 0]
[0, 0, 0]


[24, 2, 0]
[0, 0, 0]
[0, 0, 0]


[24, 2, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]


[26, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[0.0, 100.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[92.3076923076923, 7.692307692307692, 0.0]
[0, 0, 0]
[0, 0, 0]


[92.3076923076923, 7.692307692307692, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[412, 56, 0]
[0, 0, 0]
[0, 0, 0]
[88.03418803418803, 11.965811965811966, 0.0]
[nan, nan, nan]
[nan, nan, nan]
total accuracy
0.8803418803418803
-------------------folder , length of x_test, y_test-------------------------
132 2202 2202
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,1
10,6
11,21
12,56
13,124
14,124
15,129
16,272
17,907
18,560
each floor by number


[0, 30, 0]
[0, 284, 21]
[0, 0, 1867]


[0, 30, 0]
[0, 226, 8]
[0, 7, 1931]


[194, 4, 0]
[31, 28, 63]
[1, 4, 1877]


[195, 3, 0]
[35, 48, 39]
[2, 6, 1874]


[203, 4, 0]
[39, 145, 41]
[0, 254, 1516]


[241, 18, 0]
[4, 365, 18]
[0, 274, 1282]


[243, 16, 0]
[8, 658, 37]
[0, 97, 1143]


[260, 4, 0]
[9, 807, 45]
[0, 38, 1039]


[256, 59, 0]
[8, 755, 47]
[0, 38, 1039]


[255, 60, 0]
[8, 725, 77]
[0, 85, 992]


[271, 49, 0]
[64, 997, 187]
[0, 308, 326]


[379, 53, 0]
[240, 1530, 0]
[0, 0, 0]


[536, 8, 0]
[322, 1336, 0]
[0, 0, 0]


[700, 12, 0]
[241, 1249, 0]
[0, 0, 0]


[1158, 186, 0]
[89, 769, 0]
[0, 0, 0]


[2019, 11, 0]
[172, 0, 0]
[0, 0, 0]


[2202, 0, 0]
[0, 0, 0]
[0, 0, 0]


[2202, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 93.11475409836066, 6.885245901639345]
[0.0, 0.0, 99.99999999999999]


[0.0, 100.0, 0.0]
[0.0, 96.5811965811966, 3.418803418803419]
[0.0, 0.36119711042311664, 99.6388028895769]


[97.97979797979798, 2.0202020202020203, 0.0]
[25.40983606557377, 22.950819672131146, 51.63934426229508]
[0.053134962805526036, 0.21253985122210414, 99.73432518597237]


[98.48484848484848, 1.5151515151515151, 0.0]
[28.688524590163937, 39.34426229508197, 31.9672131147541]
[0.10626992561105207, 0.3188097768331562, 99.57492029755579]


[98.06763285024155, 1.9323671497584543, 0.0]
[17.333333333333332, 64.44444444444444, 18.22222222222222]
[0.0, 14.350282485875708, 85.64971751412429]


[93.05019305019306, 6.94980694980695, 0.0]
[1.0335917312661498, 94.31524547803618, 4.651162790697675]
[0.0, 17.60925449871465, 82.39074550128534]


[93.82239382239382, 6.177606177606178, 0.0]
[1.1379800853485063, 93.59886201991465, 5.263157894736842]
[0.0, 7.82258064516129, 92.1774193548387]


[98.48484848484848, 1.5151515151515151, 0.0]
[1.0452961672473868, 93.72822299651568, 5.226480836236934]
[0.0, 3.528319405756732, 96.47168059424327]


[81.26984126984127, 18.73015873015873, 0.0]
[0.9876543209876544, 93.20987654320989, 5.802469135802469]
[0.0, 3.528319405756732, 96.47168059424327]


[80.95238095238095, 19.047619047619047, 0.0]
[0.9876543209876544, 89.50617283950618, 9.506172839506172]
[0.0, 7.892293407613742, 92.10770659238626]


[84.6875, 15.3125, 0.0]
[5.128205128205128, 79.88782051282051, 14.983974358974358]
[0.0, 48.58044164037855, 51.419558359621455]


[87.73148148148148, 12.268518518518517, 0.0]
[13.559322033898306, 86.4406779661017, 0.0]
[0, 0, 0]


[98.52941176470587, 1.4705882352941175, 0.0]
[19.420989143546443, 80.57901085645356, 0.0]
[0, 0, 0]


[98.31460674157303, 1.6853932584269662, 0.0]
[16.174496644295303, 83.8255033557047, 0.0]
[0, 0, 0]


[86.16071428571429, 13.839285714285715, 0.0]
[10.372960372960373, 89.62703962703962, 0.0]
[0, 0, 0]


[99.45812807881774, 0.541871921182266, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[11314, 547, 0]
[1270, 9922, 583]
[3, 1111, 14886]
[95.38824719669505, 4.611752803304949, 0.0]
[10.78556263269639, 84.26326963906581, 4.951167728237792]
[0.01875, 6.94375, 93.0375]
total accuracy
0.9113432233323242
-------------------folder , length of x_test, y_test-------------------------
133 880 880
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,20
10,27
11,8
12,13
13,35
14,62
15,122
16,176
17,259
18,155
each floor by number


[0, 19, 0]
[0, 138, 23]
[0, 48, 652]


[0, 19, 0]
[0, 95, 12]
[0, 37, 717]


[55, 10, 3]
[36, 24, 15]
[6, 15, 716]


[74, 12, 1]
[41, 38, 25]
[0, 18, 671]


[93, 8, 2]
[52, 90, 22]
[0, 20, 593]


[100, 11, 0]
[55, 183, 51]
[0, 71, 409]


[128, 9, 0]
[32, 348, 91]
[0, 2, 270]


[152, 11, 0]
[20, 398, 115]
[0, 0, 184]


[155, 24, 0]
[14, 391, 112]
[0, 0, 184]


[155, 25, 0]
[14, 440, 126]
[0, 0, 120]


[182, 80, 0]
[5, 532, 81]
[0, 0, 0]


[221, 158, 0]
[11, 490, 0]
[0, 0, 0]


[289, 183, 0]
[24, 384, 0]
[0, 0, 0]


[411, 141, 0]
[8, 320, 0]
[0, 0, 0]


[709, 19, 0]
[26, 126, 0]
[0, 0, 0]


[880, 0, 0]
[0, 0, 0]
[0, 0, 0]


[880, 0, 0]
[0, 0, 0]
[0, 0, 0]


[880, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 85.71428571428571, 14.285714285714285]
[0.0, 6.857142857142857, 93.14285714285714]


[0.0, 100.0, 0.0]
[0.0, 88.78504672897196, 11.214953271028037]
[0.0, 4.907161803713528, 95.09283819628646]


[80.88235294117646, 14.705882352941176, 4.411764705882352]
[48.0, 32.0, 20.0]
[0.8141112618724559, 2.03527815468114, 97.15061058344641]


[85.05747126436782, 13.793103448275863, 1.1494252873563218]
[39.42307692307692, 36.53846153846154, 24.038461538461537]
[0.0, 2.6124818577648767, 97.38751814223512]


[90.29126213592232, 7.766990291262136, 1.941747572815534]
[31.707317073170735, 54.87804878048781, 13.414634146341465]
[0.0, 3.2626427406199023, 96.7373572593801]


[90.09009009009009, 9.909909909909908, 0.0]
[19.03114186851211, 63.32179930795847, 17.64705882352941]
[0.0, 14.791666666666668, 85.20833333333334]


[93.43065693430657, 6.56934306569343, 0.0]
[6.794055201698514, 73.88535031847134, 19.32059447983015]
[0.0, 0.7352941176470588, 99.26470588235293]


[93.25153374233129, 6.748466257668712, 0.0]
[3.75234521575985, 74.671669793621, 21.575984990619137]
[0.0, 0.0, 100.0]


[86.59217877094972, 13.40782122905028, 0.0]
[2.7079303675048356, 75.62862669245648, 21.663442940038685]
[0.0, 0.0, 100.0]


[86.11111111111111, 13.88888888888889, 0.0]
[2.413793103448276, 75.86206896551724, 21.724137931034484]
[0.0, 0.0, 100.0]


[69.46564885496183, 30.534351145038165, 0.0]
[0.8090614886731392, 86.08414239482201, 13.106796116504855]
[0, 0, 0]


[58.31134564643799, 41.68865435356201, 0.0]
[2.19560878243513, 97.80439121756487, 0.0]
[0, 0, 0]


[61.228813559322035, 38.771186440677965, 0.0]
[5.88235294117647, 94.11764705882352, 0.0]
[0, 0, 0]


[74.45652173913044, 25.543478260869566, 0.0]
[2.4390243902439024, 97.5609756097561, 0.0]
[0, 0, 0]


[97.39010989010988, 2.60989010989011, 0.0]
[17.105263157894736, 82.89473684210526, 0.0]
[0, 0, 0]


[99.99999999999999, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[99.99999999999999, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[99.99999999999999, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[5364, 729, 6]
[338, 3997, 673]
[6, 211, 4516]
[87.94884407279882, 11.952779144121987, 0.09837678307919331]
[6.7492012779552715, 79.81230031948881, 13.438498402555911]
[0.1267694908092119, 4.458060426790619, 95.41517008240017]
total accuracy
0.8760732323232323
-------------------folder , length of x_test, y_test-------------------------
134 3062 3062
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,7
7,6
8,54
9,20
10,26
11,23
12,47
13,105
14,162
15,234
16,312
17,717
18,1349
each floor by number


[0, 39, 0]
[0, 586, 108]
[0, 125, 2204]


[0, 39, 0]
[0, 337, 77]
[0, 175, 2434]


[242, 23, 2]
[32, 73, 78]
[63, 87, 2462]


[254, 12, 0]
[98, 189, 22]
[9, 79, 2399]


[266, 8, 0]
[128, 326, 31]
[0, 45, 2258]


[275, 6, 0]
[139, 549, 54]
[0, 101, 1938]


[325, 27, 0]
[135, 899, 26]
[0, 205, 1445]


[346, 11, 0]
[160, 1003, 20]
[0, 398, 1124]


[336, 17, 0]
[164, 1002, 21]
[0, 383, 1139]


[334, 19, 0]
[162, 1059, 32]
[0, 320, 1136]


[455, 21, 0]
[129, 1607, 59]
[0, 96, 695]


[539, 10, 0]
[120, 2393, 0]
[0, 0, 0]


[753, 8, 0]
[138, 2163, 0]
[0, 0, 0]


[1027, 8, 0]
[367, 1660, 0]
[0, 0, 0]


[1991, 76, 0]
[11, 984, 0]
[0, 0, 0]


[3048, 9, 0]
[5, 0, 0]
[0, 0, 0]


[3062, 0, 0]
[0, 0, 0]
[0, 0, 0]


[3062, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 84.43804034582132, 15.561959654178674]
[0.0, 5.367110347788751, 94.63288965221125]


[0.0, 100.0, 0.0]
[0.0, 81.40096618357488, 18.599033816425123]
[0.0, 6.707550785741663, 93.29244921425834]


[90.6367041198502, 8.614232209737828, 0.7490636704119851]
[17.486338797814206, 39.89071038251366, 42.62295081967213]
[2.4119448698315464, 3.330781010719755, 94.2572741194487]


[95.48872180451127, 4.511278195488722, 0.0]
[31.715210355987058, 61.16504854368932, 7.119741100323625]
[0.36188178528347403, 3.176517893043828, 96.46160032167269]


[97.08029197080292, 2.9197080291970803, 0.0]
[26.39175257731959, 67.21649484536083, 6.391752577319588]
[0.0, 1.9539730785931393, 98.04602692140685]


[97.86476868327402, 2.1352313167259784, 0.0]
[18.733153638814017, 73.98921832884098, 7.277628032345014]
[0.0, 4.953408533594899, 95.0465914664051]


[92.32954545454545, 7.670454545454546, 0.0]
[12.735849056603774, 84.81132075471699, 2.452830188679245]
[0.0, 12.424242424242424, 87.57575757575758]


[96.91876750700281, 3.081232492997199, 0.0]
[13.524936601859679, 84.78444632290785, 1.6906170752324599]
[0.0, 26.149802890932982, 73.85019710906701]


[95.18413597733712, 4.81586402266289, 0.0]
[13.816343723673127, 84.4144903117102, 1.7691659646166809]
[0.0, 25.164257555847566, 74.83574244415243]


[94.61756373937678, 5.38243626062323, 0.0]
[12.928970470869913, 84.5171588188348, 2.5538707102952913]
[0.0, 21.978021978021978, 78.02197802197801]


[95.58823529411765, 4.411764705882353, 0.0]
[7.186629526462395, 89.52646239554318, 3.286908077994429]
[0.0, 12.13653603034134, 87.86346396965865]


[98.17850637522768, 1.8214936247723132, 0.0]
[4.775169120573021, 95.22483087942699, 0.0]
[0, 0, 0]


[98.94875164257556, 1.0512483574244416, 0.0]
[5.997392438070404, 94.0026075619296, 0.0]
[0, 0, 0]


[99.22705314009661, 0.7729468599033816, 0.0]
[18.10557474099655, 81.89442525900346, 0.0]
[0, 0, 0]


[96.32317368166424, 3.676826318335752, 0.0]
[1.105527638190955, 98.89447236180905, 0.0]
[0, 0, 0]


[99.70559371933268, 0.2944062806673209, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[16315, 333, 2]
[1788, 14830, 528]
[72, 2014, 19234]
[97.98798798798799, 2.0, 0.012012012012012012]
[10.428088183832964, 86.49247637933045, 3.07943543683658]
[0.33771106941838647, 9.446529080675422, 90.21575984990619]
total accuracy
0.9140539952101023
-------------------folder , length of x_test, y_test-------------------------
135 39 39
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,1
16,36
17,0
18,0
each floor by number


[0, 39, 0]
[0, 0, 0]
[0, 0, 0]


[0, 38, 1]
[0, 0, 0]
[0, 0, 0]


[36, 2, 1]
[0, 0, 0]
[0, 0, 0]


[37, 2, 0]
[0, 0, 0]
[0, 0, 0]


[39, 0, 0]
[0, 0, 0]
[0, 0, 0]


[39, 0, 0]
[0, 0, 0]
[0, 0, 0]


[39, 0, 0]
[0, 0, 0]
[0, 0, 0]


[39, 0, 0]
[0, 0, 0]
